id;genotype
A/Florida/57/2022;3C.2a1b.2a.2b
A/Montana/08/2023;3C.2a1b.2a.2b
A/Michigan/41/2022;3C.2a1b.2a.2b
A/Singapore/GP12876/2022;3C.2a1b.2a.2b
A/Puerto_Rico/31/2022;3C.2a1b.2a.2b
A/Thuringen/10/2022;3C.2a1b.2a.2b
A/Sydney/732-144/2022;3C.2a1b.2a.2a.3b
A/Sydney/732-103/2022;3C.2a1b.2a.2a.3b
A/Sydney/732-546/2022;3C.2a1b.2a.2a.3b
A/Slovenia/8720-418/2022;3C.2a1b.2a.2a.1
A/avian/Japan/KU-d3C/2020;Zoonotic-avian(A/H2N9)
A/chicken/Denmark/18064-11/2021;Zoonotic-avian(A/H5N5)
A/chicken/Guangdong/6799/2021;Zoonotic-avian(A/H3N8)
A/chicken/Guangxi/HD58/2020;Zoonotic-avian(A/H10N3)
A/chicken/Korea/LBM261/2020;Zoonotic-avian(A/H9N2)
A/Common_guillemot/Sweden/SVA210729SZ0317/FB002610/I-2021;Zoonotic-avian(A/H13N8)
A/domestic_goose/Italy/21VIR649/2021;Zoonotic-avian(A/H7N7)
A/duck/Aichi/231111/2021;Zoonotic-avian(A/H2N5)
A/duck/Bangladesh/18D1577/2021;Zoonotic-avian(A/H3N2)
A/Duck/Guangdong/H34/2020/H3N2;Zoonotic-avian(A/H3N2)
A/duck/Guangxi/E1424/2020(H4N1);Zoonotic-avian(A/H4N1)
A/duck/Kaohsiung/20WB0004-34/2020;Zoonotic-avian(A/H7N1)
A/duck/Tainan/20WB0245-94/2020;Zoonotic-avian(A/H12N5)
A/duck/Vietnam/HN6423/2020;Zoonotic-avian(A/H6N6)
A/duck/Zambia/UNZA-390/2021;Zoonotic-avian(A/H11N6)
A/Dunlin/Delaware_Bay/378/2020;Zoonotic-avian(A/H4N9)
A/gadwall/Novosibirsk_region/3407k/2020;Zoonotic-avian(A/H4N6)
A/goose/China/GVRI-406G50/2020;Zoonotic-avian(A/H6N2)
A/greylag_goose/Netherlands/20016582-004/2020;Zoonotic-avian(A/H5N1)
A/gull/AK/21MB00111/2021;Zoonotic-avian(A/H16N3)
A/gull/Shandong/W1359/2021;Zoonotic-avian(A/H16N3)
A/gull/South_Korea/GNU54/2021;Zoonotic-avian(A/H13N6)
A/mallard/Alaska/AH0176804/2021;Zoonotic-avian(A/H8N4)
A/Mallard/Alberta/200/2021;Zoonotic-avian(A/H2N4)
A/Mallard/Alberta/513/2021;Zoonotic-avian(A/H2N3)
A/mallard/Russia_Primorje/94T/2020;Zoonotic-avian(A/H1N1)
A/mute_swan/Denmark/17467-1/2021;Zoonotic-avian(A/H5N8)
A/northern_pintail/Alaska/AK20-419/2020;Zoonotic-avian(A/H1N1)
A/Red_Knot/Delaware_Bay/432/2020;Zoonotic-avian(A/H12N3)
A/Semipalmated_sandpiper/Delaware_Bay/553/2020;Zoonotic-avian(A/H11N9)
A/swine/Illinois/A02479007/2020;Zoonotic-swine(A/H3N2)
A/swine/Iowa/A02479374/2020;Zoonotic-swine(A/H1N2)
A/swine/Nebraska/A02245425/2020;Zoonotic-swine(A/H1N1)
A/swine/South_Dakota/A02524453/2020;Zoonotic-swine(A/H1N1)
A/Tawny_frogmouth/Western_Australia/AS-21-1823-0007/2021;Zoonotic-avian(A/H10N7)
A/turkey/North_Carolina/20-007948-005/2020;Zoonotic-avian(A/H7N3)
A/turkey/Russia/trf1/2021;Zoonotic-avian(A/H9N2)
A/wild_boar/Spain/45560-1/2021;Zoonotic-swine(A/H3N1)
A/swine/Indiana/21TOSU1569/2021;Zoonotic-swine(A/H3N2)
